mol_id,smiles,A,B,C,mu,alpha,homo,lumo,gap,r2,zpve,u0,u298,h298,g298,cv
gdb_102370,CCC(C=O)(C=O)OC,1.8283,1.36725,1.23407,1.6119,73.18,-0.2414,-0.0529,0.1886,1195.8426,0.154082,-460.164392,-460.153744,-460.1528,-460.200176,36.802
gdb_125929,CC1CC2=NC(O)=NN12,4.7006,1.1735,0.97928,3.7855,71.57,-0.2261,0.0153,0.2414,1176.8505,0.126049,-434.063642,-434.056,-434.055056,-434.095988,28.752
gdb_2772,OC1COC1C=O,3.63293,2.98296,1.988,1.5786,49.87,-0.2547,-0.0524,0.2023,646.3751,0.100932,-381.565314,-381.558705,-381.557761,-381.596275,23.308
gdb_15635,CCC1=CCOC1C,3.07055,1.63355,1.23805,1.7056,77.64,-0.2242,0.0242,0.2484,1063.0136,0.176525,-349.020801,-349.012062,-349.011118,-349.054471,31.855
gdb_59929,CC(C)OC(C#C)C#C,2.18025,1.07947,0.8664,1.2342,84.32,-0.2626,0.0103,0.273,1436.1635,0.153863,-385.807257,-385.796562,-385.795617,-385.843506,38.666
gdb_2348,CC(=O)C1CCC1,5.28659,1.8222,1.57619,2.635,64.78,-0.2389,-0.0093,0.2295,836.4733,0.147702,-309.732528,-309.724906,-309.723961,-309.765172,27.004
gdb_25270,c1c2n(cn1)C(=O)CN2,3.25729,1.77294,1.15872,3.8871,69.4,-0.2103,-0.0401,0.1702,965.9137,0.104613,-432.923379,-432.916811,-432.915867,-432.954465,25.294
gdb_65840,CC1(COC(=N)O1)C#N,2.73491,1.34827,1.24164,4.8772,67.17,-0.275,-0.0039,0.2712,1063.7005,0.112355,-453.97546,-453.967281,-453.966337,-454.008506,29.792
gdb_122676,CCOCC1COCO1,4.88845,0.72716,0.6695,1.9505,75.49,-0.2539,0.0821,0.336,1716.0382,0.182044,-461.349824,-461.340116,-461.339172,-461.386518,33.808
gdb_98223,CCC(=O)N(C)C(=O)C,3.21864,1.03759,0.81529,5.6256,77.95,-0.2338,-0.0155,0.2183,1447.6635,0.167697,-440.339132,-440.328408,-440.327464,-440.376055,37.288
gdb_80456,CC1C2CC(O)C(=O)N12,2.50393,1.59687,1.34891,3.0834,71.08,-0.25,-0.0155,0.2345,1024.355,0.148055,-439.094076,-439.085865,-439.08492,-439.126989,31.337
gdb_25122,c1cc(=O)occc1=O,3.55612,1.32178,0.96361,0.6416,70.72,-0.269,-0.1001,0.1688,1105.4175,0.089932,-456.612535,-456.6053,-456.604356,-456.64515,26.351
gdb_69126,CC12CC1C(=O)C(=N)N2,2.88599,1.4979,1.16123,4.65,75.92,-0.2349,-0.0567,0.1781,1078.0498,0.136885,-418.034169,-418.026216,-418.025271,-418.066367,31.024
gdb_96039,CC1CCCC1CC=O,2.44213,1.1143,0.8831,2.8311,85.66,-0.2467,-0.0177,0.229,1405.7886,0.205656,-388.322156,-388.312312,-388.311368,-388.358148,35.809
gdb_71586,CC12NC3C1OC=NC23,2.84452,1.78072,1.66444,0.6046,71.19,-0.2316,0.0068,0.2385,898.5618,0.138529,-417.958574,-417.951731,-417.950787,-417.989536,27.513
gdb_102903,OCC(CCC#C)C#N,3.3254,0.74029,0.63121,2.7718,78.6,-0.2714,0.0184,0.2898,1710.1144,0.145346,-401.927187,-401.916937,-401.915992,-401.963301,35.968
gdb_45517,O=C1NC2CCC=C2N1,4.40388,1.27334,1.03228,3.0452,76.22,-0.214,0.0227,0.2367,1121.1602,0.140122,-418.073026,-418.066035,-418.065091,-418.104314,28.216
gdb_29909,Cc1c(ccn1C)C#C,3.26339,1.28456,0.9325,3.1338,90.44,-0.1945,0.0204,0.215,1242.7974,0.146591,-364.829355,-364.81998,-364.819035,-364.863548,34.351
gdb_69922,CC12OC1C1CC2C=C1,3.02992,1.75453,1.65082,1.6693,77.61,-0.2338,0.019,0.2528,925.7611,0.160986,-385.870162,-385.863182,-385.862237,-385.900974,29.445
gdb_81345,CC1C2CC1C(C)=CC2,2.53003,1.48239,1.18094,0.1915,91.16,-0.2188,0.0315,0.2502,1190.1249,0.207455,-351.167011,-351.158527,-351.157582,-351.199388,34.41
gdb_97223,CN=C1COCC2CN12,2.75851,1.50779,1.07926,1.897,78.96,-0.2257,0.0085,0.2342,1144.4182,0.159969,-419.171534,-419.163131,-419.162187,-419.20503,31.308
gdb_64442,CC1(CCOCC1=O)C,2.19971,1.62107,1.21289,2.7411,77.98,-0.2293,-0.0205,0.2089,1127.1336,0.181935,-424.254914,-424.245729,-424.244784,-424.288507,35.087
gdb_118870,CCCC1(C)CC2CC12,2.87288,1.0026,0.89706,0.2295,92.55,-0.2481,0.0871,0.3352,1479.2153,0.228562,-352.3374,-352.327605,-352.326661,-352.371835,38.197
gdb_35129,C#CC1CC(O1)C1CO1,5.09601,0.92894,0.89702,1.6484,75.03,-0.2546,0.0182,0.2729,1310.9453,0.134426,-421.743396,-421.734958,-421.734014,-421.777204,31.042
gdb_27651,C#Cc1cc([nH]c1N)O,3.17183,1.22069,0.88375,1.7229,79.01,-0.1699,0.0265,0.1964,1231.7971,0.112136,-416.808079,-416.799094,-416.798149,-416.841225,33.777
gdb_18400,C1C2CCOCCC12,3.18155,2.04164,1.40466,1.2168,74.47,-0.2354,0.0854,0.3209,928.7057,0.179936,-348.996889,-348.989792,-348.988848,-349.027832,28.703
gdb_46854,N=C1NCC2NC2C1=O,2.53302,1.78823,1.23599,6.2268,72.17,-0.2307,-0.046,0.1847,1002.6482,0.126597,-434.059392,-434.051768,-434.050824,-434.091776,29.058
gdb_103459,CC1(CO)C2OCC12C,2.4622,1.36191,1.11744,3.0882,79.01,-0.2263,0.0679,0.2942,1194.8218,0.180476,-424.177365,-424.167609,-424.166665,-424.211445,36.477
gdb_91909,CC1CC(O)CC2CC12,2.31949,1.44188,0.99983,1.4548,84.72,-0.2561,0.0729,0.329,1263.0385,0.207481,-388.297758,-388.288913,-388.287969,-388.33075,35.479
gdb_95301,CC1CCC2CCC1C2,2.45503,1.59846,1.38905,0.0537,90.14,-0.2823,0.0719,0.3542,1114.8967,0.233895,-352.396335,-352.388323,-352.387379,-352.428182,33.823
gdb_116902,CC1(CC1)C#CCCO,4.31029,0.57909,0.53735,1.5114,89.9,-0.2268,0.0575,0.2842,2092.2847,0.180413,-387.051514,-387.040844,-387.0399,-387.088828,37.936
gdb_45678,C1C(=O)N2C=CNC2=N1,3.31166,1.77792,1.16518,4.3124,69.64,-0.1976,-0.0184,0.1792,962.7059,0.103689,-432.925357,-432.918499,-432.917555,-432.956624,26.267
gdb_65063,OC1(CC1)C1(CN1)C#C,2.19423,1.73826,1.14335,1.6968,77.92,-0.238,0.0352,0.2732,1095.3801,0.145639,-401.86317,-401.854239,-401.853294,-401.896493,34.807
gdb_16489,CC1C2CC3C2C13O,2.73034,2.58442,1.74086,1.1156,70.62,-0.2367,0.077,0.3137,821.2645,0.153967,-347.750439,-347.743235,-347.742291,-347.781262,28.947
gdb_80096,CC1CC=CC2C(O)C12,2.2088,1.72542,1.37498,1.3271,82.93,-0.2326,0.0147,0.2473,1066.0756,0.184067,-387.092102,-387.083743,-387.082799,-387.124542,33.555
gdb_19128,C1CC1C2(CC2)C#N,2.79128,1.95114,1.40404,3.9977,72.7,-0.267,0.0329,0.2999,934.6755,0.142454,-326.716417,-326.708671,-326.707727,-326.748681,29.074
gdb_62171,CN(CCC=O)CC=O,5.73204,0.54801,0.52134,0.6813,78.63,-0.2385,-0.0338,0.2047,2026.4661,0.166766,-440.279951,-440.269271,-440.268327,-440.31751,36.089
gdb_73570,CC12COCC1C1CC21,2.159,2.04561,1.51454,1.6463,80.69,-0.229,0.0904,0.3194,995.8428,0.184378,-387.065909,-387.058228,-387.057283,-387.097502,31.527
gdb_124713,CC(=Nc1cnno1)N,4.85558,1.04082,0.86161,6.8891,78.15,-0.2186,-0.0365,0.1821,1262.4782,0.111622,-450.123714,-450.114926,-450.113982,-450.158587,30.828
gdb_44547,O=C1CC2C3NC3C2N1,3.46306,1.4749,1.39584,5.2228,71.34,-0.2311,0.0438,0.2749,967.5439,0.139252,-418.0046,-417.9978,-417.996856,-418.03589,27.59
gdb_67101,CC12C3CC11CCN2C31,2.55801,2.06487,1.74469,1.456,82.23,-0.213,0.086,0.2989,913.8913,0.172759,-365.917363,-365.910258,-365.909314,-365.948299,29.743
gdb_8504,CC12NC3(C)C1NC23,3.79042,2.08126,1.62327,1.4829,72.43,-0.2189,0.0779,0.2968,852.3276,0.153913,-343.882961,-343.875606,-343.874662,-343.913925,29.043
gdb_97674,CCC#CC1(COC1)O,3.29236,0.75968,0.70973,3.1766,81.4,-0.2468,0.0289,0.2757,1687.7046,0.156741,-422.974267,-422.964068,-422.963124,-423.012163,35.422
gdb_102880,CN=C(NCC#N)OC,2.65578,0.91558,0.69678,2.8394,76.98,-0.2365,0.0145,0.251,1576.5621,0.145958,-435.274178,-435.263667,-435.262723,-435.311113,35.399
gdb_1303,CC1(C)COC1=N,3.46915,2.57533,2.20806,2.4567,61.5,-0.2609,0.0323,0.2932,703.5227,0.136267,-325.785262,-325.777909,-325.776964,-325.816273,27.018
gdb_90229,CN1CC23CCC12CO3,2.62565,1.68056,1.52947,1.2293,78.44,-0.2098,0.0498,0.2596,1000.0889,0.170777,-403.050251,-403.042239,-403.041294,-403.082407,31.654
gdb_103602,CC1(CO)CC(O)C1=O,2.67496,1.26414,1.10297,2.2141,71.8,-0.2377,-0.0417,0.196,1173.6303,0.157068,-460.160101,-460.150422,-460.149477,-460.194559,35.591
gdb_16235,CC1CC=CC11CO1,2.88195,2.27884,1.45331,1.904,73.21,-0.2392,0.0117,0.2509,895.2882,0.154223,-347.800165,-347.792806,-347.791861,-347.831681,28.693
gdb_119136,[NH3+]CCC1(CO1)C([O-])=O,2.26863,1.48728,1.02781,6.4793,68.29,-0.2407,0.014,0.2547,1173.9656,0.147622,-476.231674,-476.222849,-476.221905,-476.265725,32.625
gdb_2325,CN1CC1CC=O,4.96427,1.73717,1.43338,2.3417,61.64,-0.2324,-0.0248,0.2076,854.0564,0.13482,-325.7484,-325.740616,-325.739672,-325.78113,27.013
gdb_7092,CC#CC(=O)COC,5.39871,0.82346,0.72421,4.4623,73.37,-0.2549,-0.0458,0.2091,1548.4183,0.126504,-383.714219,-383.704362,-383.703418,-383.751845,31.717
gdb_21244,COc1cn[nH]c1N,3.37849,1.90319,1.23273,2.2275,64.09,-0.1943,0.0322,0.2264,940.3969,0.12045,-395.976571,-395.968602,-395.967658,-396.009279,28.25
gdb_38043,C1C2C=CC11C=CCC21,3.55279,1.72527,1.48381,0.2695,83.91,-0.2179,0.0118,0.2296,936.7429,0.162517,-348.714249,-348.707943,-348.706999,-348.744331,28.035
gdb_127059,CCOCc1[nH]ncn1,5.55812,0.78266,0.69502,3.8068,74.21,-0.2537,0.0176,0.2714,1602.6724,0.148898,-435.287576,-435.278645,-435.277701,-435.323133,30.832
gdb_40801,C1NC1C1CC=CCO1,3.79531,1.11651,0.95019,0.6935,80.61,-0.2402,0.0268,0.267,1272.7554,0.172805,-403.12109,-403.112916,-403.111971,-403.154544,31.32
gdb_2434,CC12OC3CC1C23,5.49442,2.85847,2.48846,1.6431,60.11,-0.2252,0.0905,0.3157,604.1409,0.125438,-308.45482,-308.44905,-308.448106,-308.483947,22.953
gdb_77364,OC1C(COC1=O)C=O,3.02289,1.2749,0.95339,1.5437,61.76,-0.2729,-0.0456,0.2273,1153.5827,0.111731,-494.944069,-494.935765,-494.934821,-494.97785,29.366
gdb_30034,CC1C=CN2C=CC=C12,3.22679,1.63938,1.15471,1.4912,85.78,-0.1985,-0.0013,0.1972,1061.5303,0.150295,-364.859722,-364.852421,-364.851477,-364.891258,29.35
gdb_69645,OC12CC1C1(NC21)C=O,3.87098,1.1693,1.14386,2.7131,71.46,-0.2231,-0.0355,0.1876,1097.0988,0.12286,-437.802312,-437.794524,-437.79358,-437.834333,30.384
gdb_1788,CCC1(C)CC1C,3.57463,1.93782,1.60298,0.1214,74.82,-0.2552,0.0874,0.3426,912.3929,0.193436,-274.985796,-274.976984,-274.97604,-275.018407,32.779
gdb_65091,CC1(CC1)C12CC1OC2,3.08544,1.28543,1.14517,1.8595,81.76,-0.2257,0.0821,0.3077,1168.7768,0.181995,-387.032084,-387.023519,-387.022574,-387.065402,33.708
gdb_89220,CC12CC(O)C3OC1C23,3.10632,1.58109,1.28152,2.5137,73.59,-0.2324,0.0682,0.3005,1028.491,0.160147,-422.994173,-422.986569,-422.985625,-423.025868,30.905
gdb_33443,C#CC1(C#C)C2CCN12,2.54947,1.60621,1.15201,1.8408,82.42,-0.2346,0.0091,0.2437,1073.9955,0.122062,-363.486593,-363.478284,-363.47734,-363.519066,32.285
gdb_99046,CC(NC(=O)CO)C#N,3.46263,0.78368,0.72732,3.3358,71.12,-0.2729,-0.005,0.2679,1565.265,0.134165,-455.185714,-455.175634,-455.17469,-455.222368,34.686
gdb_115673,CCC1CCC1C(C)=O,2.18258,1.20019,0.96004,2.5549,86.1,-0.2376,-0.0104,0.2272,1384.1874,0.204024,-388.310529,-388.300152,-388.299208,-388.346697,37.508
gdb_108694,C1CNC(=C1C=O)CO,2.38098,1.24973,0.84249,4.7348,80.43,-0.2027,-0.0289,0.1737,1325.4453,0.148188,-439.107634,-439.098593,-439.097649,-439.141931,32.533
gdb_82058,OC1C2CN2C11COC1,2.77611,1.53251,1.29354,3.4736,71.0,-0.2439,0.055,0.2989,1027.6393,0.147561,-439.004139,-438.996111,-438.995167,-439.036859,30.432
gdb_37646,C1C2C3C4C5C(C4N13)N25,3.24319,2.42308,2.14928,0.953,72.08,-0.2123,0.0602,0.2725,741.1188,0.140526,-380.775491,-380.770391,-380.769447,-380.804562,23.271
gdb_32085,CCc1cccc(n1)O,2.80065,1.28264,0.93564,1.0421,82.65,-0.228,-0.018,0.21,1264.8048,0.149533,-402.033884,-402.025732,-402.024787,-402.067137,31.087
gdb_94085,CC1COC(OC1)C=O,4.43744,0.95553,0.83593,3.9835,72.46,-0.2581,-0.0335,0.2247,1380.2138,0.158334,-460.17149,-460.162588,-460.161644,-460.205658,32.472
gdb_79123,CN1C2C3OC(=N)C2C13,4.41996,1.33371,1.16626,1.9285,74.24,-0.2298,0.0108,0.2406,1059.1055,0.13737,-417.942373,-417.935418,-417.934474,-417.973537,28.007
gdb_57049,CC(C#N)C1CCC1C,2.35739,1.25094,0.93064,3.9267,85.96,-0.296,0.0378,0.3338,1337.7818,0.194042,-367.229258,-367.219485,-367.218541,-367.263925,36.382
gdb_20285,C12C3C1C1C3C3C2N13,4.17959,3.08776,2.83504,1.9082,64.44,-0.2188,0.0671,0.2859,589.1626,0.122591,-325.449064,-325.444513,-325.443569,-325.477312,20.492
gdb_32181,CCc1cccn1C=O,2.04915,1.64553,0.97729,2.7792,82.08,-0.2197,-0.0357,0.184,1211.6198,0.148576,-402.01306,-402.004628,-402.003684,-402.046281,31.377
gdb_52911,CC#CC1(CCO1)C#N,2.40542,1.12681,0.87226,4.6195,79.28,-0.2711,-0.0165,0.2546,1367.2187,0.122244,-400.709355,-400.699841,-400.698897,-400.745712,32.306
gdb_93683,CC1CCC(C)(O)C=C1,3.12009,1.12357,1.02923,1.225,88.22,-0.2439,0.0141,0.258,1314.6768,0.20531,-388.318839,-388.309219,-388.308274,-388.352568,37.776
gdb_11768,C#CC12CC(CC1)O2,4.68905,1.7187,1.56475,1.7753,70.68,-0.2483,0.0215,0.2698,850.505,0.131156,-346.550211,-346.543529,-346.542585,-346.580726,26.892
gdb_31264,CNc1c(cco1)OC,2.38678,1.40348,0.9324,0.7949,77.26,-0.1757,0.0346,0.2103,1271.0738,0.147097,-439.084674,-439.075308,-439.074364,-439.119857,33.063
gdb_76722,CC1C(O)C1COC=O,3.35193,0.90905,0.81519,5.7679,73.08,-0.2616,0.0177,0.2792,1437.7533,0.157244,-460.163753,-460.153876,-460.152932,-460.199281,34.933
gdb_89276,CC1OC2(C)C=CCC12,2.22086,1.84885,1.33106,1.6982,82.68,-0.2335,0.0155,0.2491,1071.2868,0.182728,-387.099634,-387.091198,-387.090253,-387.1322,33.473
gdb_77184,OC1C(NC1=O)C1CO1,3.03922,1.18004,0.98019,4.4708,65.86,-0.2525,0.0096,0.2621,1194.3159,0.123104,-475.003852,-474.995081,-474.994137,-475.038327,30.941
gdb_85585,CC1OC(=O)CNC1=O,2.83015,1.4279,1.09628,2.4528,65.57,-0.2608,-0.0025,0.2583,1088.5902,0.124713,-475.094485,-475.086115,-475.085171,-475.128097,30.282
gdb_67785,CC12C=CC3C4C1N4C23,2.72037,2.36383,1.6298,1.7689,77.25,-0.2386,0.0044,0.243,866.9424,0.149893,-364.757331,-364.75088,-364.749936,-364.78759,27.612
gdb_112718,COC1CC(O)C(O)C1,2.36151,1.30222,1.21377,3.2045,74.24,-0.2463,0.066,0.3123,1177.8077,0.1832,-461.365111,-461.356114,-461.35517,-461.398986,34.673
gdb_77230,OC1C(OC1C#N)C=O,3.85475,1.06248,0.89993,2.4043,63.02,-0.2712,-0.0526,0.2186,1212.3264,0.098295,-473.803671,-473.794863,-473.793919,-473.838454,30.036
gdb_58102,CC(C)C(C)(O)C(C)O,2.19853,1.18911,1.11825,2.2426,84.59,-0.252,0.0636,0.3157,1330.1919,0.225414,-426.638214,-426.626627,-426.625683,-426.674072,44.128
gdb_48635,O=CC12CC(C=C1)C2=O,2.68528,1.58665,1.33668,3.614,72.24,-0.2529,-0.0421,0.2107,978.8046,0.111782,-420.618664,-420.611196,-420.610251,-420.650914,28.132
gdb_86602,CN1CC(C2CO2)C1=O,3.67116,1.01627,0.84352,2.4415,74.9,-0.2476,0.0287,0.2763,1362.1118,0.146969,-439.080883,-439.071841,-439.070896,-439.11573,31.569
gdb_99398,C(CNC(=O)CO)C=O,5.71603,0.57768,0.55516,2.7963,70.95,-0.2557,-0.0331,0.2227,1922.2637,0.145073,-476.256666,-476.246285,-476.24534,-476.294569,34.821
gdb_112895,COC1OC(C)CC1=O,1.9406,1.72636,1.10382,2.5142,71.78,-0.246,-0.0307,0.2153,1162.38,0.157549,-460.182558,-460.173262,-460.172318,-460.21745,33.483
gdb_54913,CC1(CN(C1)C(=O)N)C,3.43136,0.96605,0.91746,3.7608,80.44,-0.2322,0.0558,0.2879,1390.8495,0.182141,-420.443712,-420.433885,-420.43294,-420.478514,36.72
gdb_24188,C1C2C=CC3=CN=C1N23,3.02049,2.49163,1.55117,3.2321,77.22,-0.1937,-0.0431,0.1506,815.701,0.116288,-379.617964,-379.612172,-379.611228,-379.647802,24.06
gdb_130171,c1coc2c1c(n[nH]2)N,3.59955,1.61241,1.11536,1.4518,69.25,-0.1966,0.0206,0.2171,999.2945,0.104177,-432.879831,-432.872649,-432.871704,-432.911351,27.471
gdb_89830,CN1CC2(CC2)NC1=O,3.26562,1.28732,1.02062,3.7942,77.57,-0.2257,0.0616,0.2872,1199.6253,0.160436,-419.243196,-419.234638,-419.233694,-419.276327,32.399
gdb_56649,CC1CC1(O)C(O)C#C,2.97162,1.144,0.96596,2.0471,77.87,-0.2489,0.0229,0.2718,1276.9733,0.155418,-422.970649,-422.960463,-422.959519,-423.005353,38.039
gdb_40551,C1NC1C1=CCC2OC12,3.78421,1.19596,1.0258,2.9768,78.79,-0.2279,0.0046,0.2325,1187.5399,0.14904,-401.905018,-401.897494,-401.89655,-401.937407,29.264
gdb_100761,CCC(O)C(C)C(C)O,2.75601,0.87564,0.79845,2.7375,85.37,-0.254,0.0671,0.3211,1619.5838,0.225808,-426.633545,-426.62179,-426.620846,-426.670209,43.423
gdb_104154,CCC1(O)CCC(C)=C1,2.82209,1.08415,0.95385,1.4819,88.77,-0.2356,0.0197,0.2552,1395.1936,0.204246,-388.318759,-388.308494,-388.30755,-388.353654,38.569
gdb_91454,OC1CC2CC1(O)C2=O,2.48864,1.72416,1.34398,4.3905,67.98,-0.2351,-0.0072,0.2279,981.9464,0.135896,-458.959867,-458.951903,-458.950959,-458.991944,31.253
gdb_50844,N=C(CC1CN1)OC=O,2.52916,1.11292,0.83028,2.3636,71.14,-0.2555,-0.0314,0.2241,1357.6258,0.135112,-455.137128,-455.128103,-455.127159,-455.172321,31.585
gdb_88948,CC1CC1OC(C)(C)C,2.76863,0.99306,0.92439,1.0039,89.85,-0.2323,0.0802,0.3125,1479.121,0.225221,-389.483995,-389.472855,-389.47191,-389.52037,41.891
gdb_112493,CCC1OC(C#C)C1=O,2.37864,1.1912,0.96498,1.0793,76.11,-0.2514,-0.0392,0.2122,1286.9364,0.132575,-421.788363,-421.779019,-421.778075,-421.823282,33.428
gdb_54932,CC(=O)C1CC(C1)C=O,3.84247,0.90452,0.80855,0.2109,76.96,-0.2472,-0.0253,0.2219,1429.6753,0.156694,-423.048699,-423.039097,-423.038152,-423.084919,33.532
gdb_131768,c1c(=O)c(non1)CO,2.69318,1.51658,0.97715,1.083,64.24,-0.2708,-0.1034,0.1674,1097.0143,0.087567,-489.814897,-489.807029,-489.806084,-489.847825,28.029
gdb_14424,CC1C2CC3N1C23C,3.88661,1.89419,1.6811,1.6097,75.01,-0.229,0.097,0.326,876.7714,0.166025,-327.872379,-327.864954,-327.86401,-327.903526,29.194
gdb_4961,Cc1cccnc1C,3.18924,2.24616,1.33972,2.0205,77.75,-0.2414,-0.0122,0.2292,917.1329,0.143633,-326.801926,-326.794486,-326.793542,-326.833394,28.087
gdb_133864,C1C2CC3OC4CC1C234,2.83041,1.9984,1.41781,1.9977,91.95,-0.1386,-0.0638,0.0747,942.7307,0.158927,-385.748296,-385.74118,-385.740236,-385.779365,29.845
gdb_105165,OCC1(CC1C#N)C=O,2.74089,1.1399,0.97506,3.6047,71.58,-0.2773,-0.0566,0.2207,1215.4589,0.122972,-437.891871,-437.882949,-437.882005,-437.925828,32.025
gdb_14154,OC1CC11CCCC1,3.79189,1.55247,1.33504,1.1895,74.81,-0.2511,0.0804,0.3314,999.939,0.178329,-349.003603,-348.995732,-348.994788,-349.036189,30.62
gdb_91343,CC1OC2CC(C)=CC12,2.90642,1.33238,1.13259,1.5607,84.89,-0.2328,0.0234,0.2562,1191.877,0.182907,-387.102533,-387.094011,-387.093067,-387.135492,33.114
gdb_109861,CC1C2CC2(O)C1CO,2.2479,1.41538,1.02773,0.5728,78.21,-0.2305,0.0721,0.3026,1226.9747,0.181299,-424.187594,-424.178083,-424.177139,-424.221437,36.445
gdb_106255,COC12CC(=O)C1C2C,2.60999,1.30555,1.05684,3.776,77.06,-0.2397,-0.0104,0.2293,1204.0966,0.156896,-423.00611,-422.996895,-422.995951,-423.040228,33.947
gdb_110315,CCC1C2C(C)CC12O,1.9052,1.4601,1.00036,1.2179,86.01,-0.2407,0.072,0.3128,1322.5622,0.204435,-388.263387,-388.253401,-388.252457,-388.297945,38.012
gdb_103068,CC1(O)C(O)C1(O)CO,2.15706,1.36032,1.12085,4.1373,67.84,-0.2381,0.0474,0.2855,1181.231,0.155467,-497.265524,-497.255147,-497.254203,-497.300135,38.638
gdb_40831,C1NC1C1CCOCO1,3.95637,1.0322,0.87293,2.1405,75.4,-0.2506,0.0784,0.329,1337.763,0.173179,-440.256002,-440.247924,-440.24698,-440.289073,30.966
gdb_131102,OC(C#C)C1=NNC=C1,3.38709,1.13878,0.98589,3.6437,72.68,-0.251,0.0063,0.2573,1189.5664,0.112851,-416.780867,-416.772493,-416.771549,-416.814538,30.743
gdb_5718,c1c2c(co1)OCC2,4.92758,2.04078,1.47536,2.0987,62.88,-0.2061,0.02,0.2261,797.6458,0.110086,-382.554776,-382.548852,-382.547908,-382.58489,22.949
gdb_86125,CC1CC(C)C(=O)C1=O,2.4128,1.45509,0.96188,4.4144,76.03,-0.2285,-0.086,0.1425,1239.2562,0.157766,-423.077279,-423.068033,-423.067088,-423.111429,33.877
gdb_74968,CC1=CC2NCC1C2=O,2.50891,1.62904,1.43292,2.0037,77.48,-0.2129,-0.0008,0.2121,1011.2754,0.149588,-401.961406,-401.953772,-401.952828,-401.993351,29.908
gdb_44121,O=C1CC2C(C#N)N2C1,2.4994,1.65109,1.34845,4.1296,68.6,-0.2515,-0.0382,0.2133,969.6402,0.113186,-416.816442,-416.80901,-416.808066,-416.848833,27.917
gdb_63854,CC1(C)CC2OC12C#C,2.28335,1.58393,1.2719,1.864,82.55,-0.2425,0.02,0.2626,1094.1301,0.156162,-385.827799,-385.818728,-385.817784,-385.860853,35.298
gdb_43341,O=C1C=CC2CC=CC12,2.99254,1.69724,1.22848,3.5629,78.84,-0.2271,-0.0448,0.1823,1004.1653,0.1386,-384.739829,-384.732901,-384.731957,-384.771381,27.387
gdb_86394,CC1OC(C)C2(O)CC12,2.44536,1.52718,1.13839,1.1714,78.39,-0.2493,0.0711,0.3204,1161.7851,0.18146,-424.227777,-424.21864,-424.217696,-424.260905,35.629
gdb_91916,CC1CC2NC2C(C)O1,2.34371,1.59304,1.07101,2.3735,82.51,-0.239,0.0707,0.3096,1205.2431,0.19521,-404.342218,-404.333451,-404.332506,-404.375254,34.469
gdb_84241,CC1C=C2CN3C2C13C,2.45165,1.96583,1.37465,1.0152,85.84,-0.2062,-0.0335,0.1727,1010.891,0.170336,-365.897906,-365.8898,-365.888856,-365.929889,32.549
gdb_123905,c1c2c(on1)CCCN2,3.45063,1.54913,1.11284,4.0882,74.04,-0.2081,-0.0015,0.2066,1053.651,0.140007,-418.009908,-418.003053,-418.002109,-418.041134,27.383
gdb_83192,OC1C2COC(=N)OC12,3.20728,1.45363,1.25259,3.273,65.65,-0.2569,0.0427,0.2996,1011.1697,0.125534,-475.006701,-474.999243,-474.998299,-475.038847,28.775
gdb_5292,c1c(nco1)C(=N)N,5.14325,1.63315,1.24084,1.8054,61.61,-0.2286,-0.0173,0.2113,897.3018,0.097902,-394.82056,-394.813821,-394.812877,-394.851659,25.104
gdb_79243,CC1C2C3CC1(O)C23O,2.38662,1.63325,1.39912,1.6992,74.74,-0.2262,0.0626,0.2888,1032.9049,0.157791,-422.968023,-422.959312,-422.958368,-423.000727,33.991
gdb_77874,CC1C2C(C)C(=O)C12O,2.01542,1.63178,1.25119,3.0186,76.31,-0.2281,-0.014,0.2142,1115.8238,0.156881,-423.013868,-423.00436,-423.003416,-423.047762,35.141
gdb_88479,CC1CC1C1(CC1)C#C,2.17407,1.39726,1.15735,0.6727,88.99,-0.2326,0.0513,0.2839,1211.225,0.180677,-349.896405,-349.886861,-349.885916,-349.930631,36.77
gdb_10812,C1C(=O)OCC(=N1)N,4.95753,1.59861,1.26929,4.7743,60.03,-0.2414,0.0054,0.2469,903.3883,0.108766,-415.901652,-415.89459,-415.893646,-415.933128,26.222
gdb_15078,OCC(C=O)C1CO1,3.11559,1.55515,1.15969,3.3343,60.9,-0.2513,-0.024,0.2272,1018.9517,0.127933,-420.846948,-420.838298,-420.837354,-420.880851,29.797
gdb_39993,C1CC11CC2C=CCC12,3.13166,1.47545,1.24268,0.1036,87.03,-0.2323,0.0284,0.2607,1091.915,0.184652,-349.943305,-349.93574,-349.934796,-349.975431,31.032
gdb_43680,N=C1OC(CC=C1)C#C,2.41638,1.56505,1.24903,3.3089,78.62,-0.2499,-0.0342,0.2157,1051.3514,0.124642,-400.731456,-400.723545,-400.722601,-400.764042,30.256
gdb_127113,CN(C)c1nc(no1)O,4.06581,1.12659,0.8926,4.7986,69.15,-0.2204,0.0219,0.2422,1256.1891,0.124228,-471.209765,-471.200829,-471.199885,-471.243947,31.203
gdb_41825,C1OC2CC1OCOC2,2.3646,2.03363,1.52999,2.2537,69.97,-0.2425,0.0758,0.3183,935.6003,0.162691,-460.162375,-460.155346,-460.154402,-460.193719,28.313
